,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,topic
0,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.0007030233661334606,3.84911470365413e-06,0.002285286559530531,0.00044019404492964126,0.005805024760451239,3.84911470365413e-06,0.0016945483640469234,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.914935374381789,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.001127764772082262,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.0559702997044672,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.001440170059040487,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.008947864888172318,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.0007103907033336671,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.00038856207074192985,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,0.005216623346062381,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,3.84911470365413e-06,computer
1,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.055866102281567465,4.943153732131557e-06,0.012581399618252475,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.009667377659700844,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.0013472813703834742,0.0016702015898725873,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.5470904562366864,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.0007746214405619327,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.3464170053026617,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.0015550979204941836,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.01837416563867057,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.0012616229092102624,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.00132280242893135,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,0.0016418112283114485,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,4.943153732131557e-06,theatre
2,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.08416761555130621,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.006962351984431338,2.5000000000269295e-06,0.003266423211203736,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.0008460987363977392,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.003356536249363751,2.5000000000269295e-06,2.5000000000269295e-06,0.002338444771785815,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.7225205488519751,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.008393386381049875,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.10781788792023728,2.5000000000269295e-06,2.5000000000269295e-06,0.0002329813450696208,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.03588124517289016,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.001354678334937294,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.019788882239491122,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,0.002857919249858132,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,2.5000000000269295e-06,religion
3,5.991611743610371e-06,0.0007637095008218111,5.991611743610371e-06,0.004833993069392263,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.024238143534901755,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.0073759133235587054,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.45598834244032416,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.012250467058292271,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.01912521794988199,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,0.4748729848424149,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,5.991611743610371e-06,fraternities
4,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.008472302453442458,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.001879719867014938,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.0013562623468268988,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.9031193758933875,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.00041858155338385616,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.06407978760724094,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.011994206749467693,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,0.00831627083859445,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,3.951007506958903e-06,computer
5,1.9778481012802746e-06,0.0004666778636494926,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.3455699502961625,0.00409024789212797,0.0002753915400506752,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.006022754144856744,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.001133886765942769,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.5284228912880045,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.005153046559893951,0.006665364103301026,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.08237767731409261,1.9778481012802746e-06,0.00022228960118375306,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.006278803997398358,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.011861255980937962,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.0010628967383106511,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,0.00022874882547792131,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,1.9778481012802746e-06,football
6,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.0015489411447809451,3.786444528624988e-06,0.006670574657918446,0.0008001993210108574,0.006603068176023941,3.786444528624988e-06,0.00038243089725135336,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.000947674281838968,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.0007192194118653625,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.8803053397333832,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.09750612205213108,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.002357328951031383,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,0.0005494857849315083,0.0012764084693130233,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,3.786444528624988e-06,computer
7,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.025480395964319433,2.237136465350404e-06,0.010767667169903416,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.0004783666984037643,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.8163855131476346,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.001176916936699973,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.1263112203283852,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.006034858943396966,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,0.013159244256443822,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,2.237136465350404e-06,neuroscience
8,2.6845637584216527e-06,0.0006853240021280927,2.6845637584216527e-06,0.02047997499663681,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.01900631283222163,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.0008270813255256984,0.004351573611524118,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.00511299253542713,2.6845637584216527e-06,2.6845637584216527e-06,0.0005473914320682428,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.7953455437416721,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.010359754349183526,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.10642296853293795,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.011028250966752223,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.0003373881270588646,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.016277619985959037,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,0.008986951077679741,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,2.6845637584216527e-06,religion
9,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.4799642300253796,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.0028981477153440854,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.00245199885547612,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.4621487389684493,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.00027232561060086915,0.0054031751338445505,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.03037940974700652,1.7850767583149879e-06,0.0001886723131106777,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.010865363934217257,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.0002774898789972855,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.004813082296265936,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,0.00018027876657551042,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,1.7850767583149879e-06,football
