,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,topic
0,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,0.004899184036898743,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,0.744732565844655,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,0.0017311115528166631,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,0.2388303728494443,0.00045520603178634617,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,0.009008638556254913,6.998390370290015e-06,6.998390370290015e-06,6.998390370290015e-06,computer
1,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.04480770548709389,8.987552240244765e-06,0.008190983905902878,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.10780089592724858,0.0007940378090411115,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.040994811992712356,0.00047996681470305965,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.009291618027134792,8.987552240244765e-06,8.987552240244765e-06,0.7712249646448489,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.0005244400962698609,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.001113869292946834,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,0.014381253703526968,8.987552240244765e-06,8.987552240244765e-06,8.987552240244765e-06,theatre
2,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,0.005452957539858084,4.545454545507045e-06,0.0014920805852996573,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,0.0010432154440193524,4.545454545507045e-06,0.2388850543658295,0.0024124290360189858,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,0.027949586504145533,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,0.004042318581312581,4.545454545507045e-06,4.545454545507045e-06,0.701904908229431,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,0.016608358804992136,4.545454545507045e-06,4.545454545507045e-06,4.545454545507045e-06,religion
3,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,0.0004557011883577906,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,0.021144810045228158,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,0.24081408048383607,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,0.2802741728976556,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,0.45676654340823086,1.0893839533832846e-05,1.0893839533832846e-05,1.0893839533832846e-05,fraternities
4,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.01156909291689122,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.0013660317526068627,7.1836500126474515e-06,0.5648082458408745,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.017895178647420174,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.3962674016099475,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.00043017089477909507,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,0.007319063136873581,7.1836500126474515e-06,7.1836500126474515e-06,7.1836500126474515e-06,computer
5,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.0003496112648059974,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.33612050656199394,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.09147487597144682,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.010134586945082555,0.01671441463325885,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.006200107053337603,3.5960874568738813e-06,3.5960874568738813e-06,0.5306998735324719,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.0007477671490914748,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,3.5960874568738813e-06,0.006912436980563229,3.5960874568738813e-06,0.0004839959723882908,3.5960874568738813e-06,football
6,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.009598122587612196,0.0008152249092051557,0.004175984095618607,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.0005163538311165638,6.8844445975100405e-06,0.6327248019816816,0.0012549269680578383,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.004936453020007706,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.000464393592674019,6.8844445975100405e-06,6.8844445975100405e-06,0.3407436025445868,0.0012930801482834303,6.8844445975100405e-06,6.8844445975100405e-06,0.000387979990900773,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.0004223031639331481,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,0.002377626493226922,6.8844445975100405e-06,6.8844445975100405e-06,6.8844445975100405e-06,computer
7,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,0.011855507480154948,4.067520846092473e-06,0.0008628460096038518,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,0.004456962382681495,0.4546919607357718,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,0.0021780087747142246,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,0.0012610022330174413,4.067520846092473e-06,4.067520846092473e-06,0.5003004066468373,0.018011281977356054,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,4.067520846092473e-06,0.005969176590274165,4.067520846092473e-06,0.0002298087315147803,4.067520846092473e-06,neuroscience
8,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.000571806553473047,0.0007397030787759971,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.017263929993916696,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.00034871720920076095,0.024605587538271193,0.15178102589687517,0.007552139118527888,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.009340557501883394,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.006023959908826058,4.8810250153139665e-06,4.8810250153139665e-06,0.7684613042895785,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.0010694265086016314,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,0.012031958326411341,4.8810250153139665e-06,4.8810250153139665e-06,4.8810250153139665e-06,religion
9,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.5094150923738626,3.245594106025544e-06,0.002934602640525275,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.14921866006263487,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.012679363423889912,0.005195278703321401,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.0031387221087850747,3.245594106025544e-06,3.245594106025544e-06,0.3137478413017954,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.00035569134162388233,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.00038299601630476155,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,3.245594106025544e-06,0.002626800432519673,3.245594106025544e-06,0.0001621454540722617,3.245594106025544e-06,football
