,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,topic
0,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850088e-05,1.0997470581850224e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,0.022310798079834493,0.000419740339703348,1.099747058185012e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850078e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850205e-05,1.0997470581850071e-05,0.4955125687926316,1.0997470581850071e-05,1.0997470581850071e-05,0.00162878864327122,1.0997470581850134e-05,1.0997470581850203e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850071e-05,1.0997470581850207e-05,1.0997470581850071e-05,1.0997470581850078e-05,0.47979818002710367,1.0997470581850239e-05,computer
1,1.412329637751376e-05,1.4123296377513721e-05,1.4123296377513775e-05,0.0022120229664788554,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,0.0515492511011897,0.014356014803265016,0.006772384022297399,1.4123296377513721e-05,1.4123296377513721e-05,0.0007676381595431876,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,0.005940045596317456,1.4123296377513721e-05,0.04170403581316028,1.4123296377513721e-05,1.4123296377513721e-05,1.412329637751386e-05,0.001064766018661618,0.004784140280748987,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,1.4123296377513721e-05,0.13618262519902802,1.4123296377513721e-05,1.4123296377513731e-05,0.7343281169262491,1.4123296377514041e-05,theatre
2,7.142857142929184e-06,7.142857142929141e-06,7.142857142929155e-06,0.030254996357589995,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,0.006559118960360109,7.142857142929315e-06,7.142857142929221e-06,7.142857142929141e-06,7.142857142929141e-06,7.142857142929221e-06,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,0.0011615956232085653,0.0005066229497102826,0.04637942220445626,7.142857142929141e-06,7.142857142929141e-06,0.002627775376869849,0.0009783897900400023,0.024824776958251586,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,7.142857142929141e-06,0.04378113414599305,7.142857142929141e-06,7.142857142929142e-06,0.840471678263956,0.0022830607981340783,religion
3,1.7118890696052878e-05,1.7118890696052878e-05,1.711889069605289e-05,0.0010598375207528626,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,0.013462084089747809,1.7118890696052905e-05,0.0011502703343917312,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696053013e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696053094e-05,1.71188906960529e-05,0.02345798477039313,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696053e-05,1.7118890696053413e-05,1.711889069605306e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,1.7118890696052878e-05,0.0028859118972981916,1.7118890696052878e-05,1.7118890696052878e-05,0.9574874635572308,1.711889069605296e-05,fraternities
4,1.1288592877007497e-05,1.1288592877007482e-05,1.1288592877007504e-05,1.1288592877007563e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,0.01408252029655046,1.128859287700754e-05,1.128859287700755e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007543e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,0.0014504545631775303,1.1288592877007482e-05,0.3384204118450597,1.1288592877007482e-05,1.1288592877007482e-05,0.0018756830621213304,1.1288592877007521e-05,0.011669456307533533,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,1.1288592877007482e-05,0.007942497104512775,1.1288592877007482e-05,1.1288592877007482e-05,0.6242428962204883,1.1288592877007533e-05,computer
5,5.650994575088458e-06,5.650994575088452e-06,5.650994575088613e-06,5.650994575088474e-06,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,0.38128965814379584,0.0034833359710408395,5.650994575088506e-06,5.650994575088452e-06,5.650994575088452e-06,0.012367199438087036,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,5.650994575088496e-06,5.650994575088457e-06,0.0066699341537620055,5.650994575088452e-06,5.650994575088452e-06,5.650994575088469e-06,0.0002928596685578271,0.010672682389895048,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,5.650994575088452e-06,0.024515414948526715,5.650994575088452e-06,5.6509945750885565e-06,0.5605563384328074,5.65099457508864e-06,football
6,1.081841293892512e-05,1.081841293892512e-05,1.0818412938925183e-05,1.081841293892516e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,0.012079346257131807,0.00043216138222430876,1.0818412938925277e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892537e-05,1.081841293892512e-05,0.43745524868038793,1.081841293892512e-05,1.081841293892512e-05,0.0018035385475905265,1.0818412938925127e-05,1.0818412938925308e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,1.081841293892512e-05,0.007689520226346875,1.081841293892512e-05,0.0004038866518667525,0.5374401998283459,0.002404001276754879,computer
7,6.39181847242118e-06,6.391818472421154e-06,6.391818472421169e-06,6.391818472421259e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,0.012122304615569164,6.3918184724214705e-06,0.0004144085192929326,6.391818472421154e-06,6.391818472421154e-06,6.391818472421395e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421164e-06,6.391818472421154e-06,0.15379305861720677,6.391818472421154e-06,6.391818472421154e-06,0.004937355552393378,0.001376242409798049,6.391818472421221e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,6.391818472421154e-06,0.01846495452157201,6.391818472421154e-06,6.391818472421157e-06,0.7986465757435531,0.010072520921859236,neuroscience
8,7.670182166913757e-06,7.670182166913757e-06,7.670182166913814e-06,0.009377653272700192,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,0.019177336108612296,7.670182166913825e-06,7.670182166913786e-06,7.670182166913757e-06,7.670182166913757e-06,7.670182166913913e-06,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,0.0003895379614623077,0.0002754360651550332,0.029187159806085026,7.670182166913757e-06,7.670182166913757e-06,0.0455267966302999,0.001630633945748965,0.0022325532093223745,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,7.670182166913757e-06,0.04106870252293711,7.670182166913757e-06,7.670182166913775e-06,0.843397064228353,0.007553041877317921,religion
9,5.100219309468497e-06,5.100219309468494e-06,5.10021930946851e-06,0.0001928992500675682,5.100219309468494e-06,5.100219309468494e-06,5.100219309468494e-06,5.100219309468494e-06,5.100219309468494e-06,0.5414552522299273,0.0006874872115189643,5.100219309468548e-06,5.100219309468494e-06,5.100219309468494e-06,0.0009743361872831742,5.100219309468494e-06,5.100219309468494e-06,5.100219309468494e-06,5.100219309468557e-06,5.100219309468494e-06,0.025563173114347065,5.100219309468494e-06,5.100219309468494e-06,5.1002193094685595e-06,0.001522708854172388,0.005104746521696089,5.1002193094685095e-06,5.100219309468494e-06,5.100219309468494e-06,5.100219309468494e-06,0.01598924639256584,5.100219309468494e-06,5.100219309468499e-06,0.40837754453637537,5.100219309468506e-06,football
