,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,topic
0,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,0.0005473280649956801,4.811393379562945e-06,4.811393379562945e-06,0.0009269840310301919,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,0.014676684405506957,0.0004951085302421361,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,0.005668019961676385,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,0.9773298318964608,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,4.811393379562945e-06,computer
1,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.019571823936472804,0.010123722426476602,0.017033151147155538,6.178942165161768e-06,0.016595389243978922,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.005220678224299379,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.14046601782719212,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.006061825885785799,6.178942165161768e-06,0.0010568419762629914,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.019948841418855508,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.0017140245077418585,6.178942165161768e-06,0.040145258422814044,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,0.7216422569157335,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,6.178942165161768e-06,theatre
2,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.004122699529278721,3.1250000000303413e-06,0.0033438171086826608,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.003730501066259592,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.0028142250380696057,3.1250000000303413e-06,3.1250000000303413e-06,0.029338752377756478,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.010625722235034805,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.001793593277679123,3.1250000000303413e-06,0.03658799484874496,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.9068640859629439,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,3.1250000000303413e-06,0.0005598585555480657,3.1250000000303413e-06,religion
3,7.4895146795305175e-06,0.000597427420663824,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.011516527542365195,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.010366519330997305,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.01811266778268339,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.01309235459101211,7.4895146795305175e-06,7.4895146795305175e-06,0.0030080635395569343,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.0016420108830580424,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,0.941125183852737,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,7.4895146795305175e-06,fraternities
4,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.0023802160917178175,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.00165341939260317,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.0018240416171527933,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.04067564248254604,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.00042492357509601975,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.00970442964139849,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.0140927480966073,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,0.9288889884272526,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,4.93875938368935e-06,computer
5,2.4723101265996423e-06,0.00037331333528432646,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,0.1192413503535103,0.00032346636593118456,0.0007318366689205372,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,0.0057325571712477045,2.4723101265996423e-06,2.4723101265996423e-06,0.41414146601758134,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,0.0007828225748783409,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,0.005129550856558849,2.4723101265996423e-06,0.00038013046709200495,2.4723101265996423e-06,2.4723101265996423e-06,0.0005015930320318641,2.4723101265996423e-06,0.014350618843096451,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,0.4381431772252586,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,2.4723101265996423e-06,football
6,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,0.003297133764912389,0.0009564758027973743,0.0030193194454489042,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,0.0009696613623849482,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,0.013347447738620347,0.0012063949052104753,4.733055660779516e-06,4.733055660779516e-06,0.0002977348275919395,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,0.012389662581162206,4.733055660779516e-06,4.733055660779516e-06,0.0005088419512727137,4.733055660779516e-06,0.001300801481330685,4.733055660779516e-06,0.0025216180951557953,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,0.9598630602591792,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,4.733055660779516e-06,computer
7,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,0.0015852275870533372,2.7964205816812284e-06,0.0021981695022489215,2.7964205816812284e-06,0.0004603842431252523,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,0.03746017366355077,0.026494145999889796,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,0.0009861066714357356,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,0.032762648718234,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,0.8978518013325811,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,2.7964205816812284e-06,neuroscience
8,3.3557046980247484e-06,0.0005295099468570111,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0025257841963154267,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0012609703895633203,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.002877998837815553,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0010202948681515675,3.3557046980247484e-06,3.3557046980247484e-06,0.09748676364488146,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0017994798440754613,3.3557046980247484e-06,0.0013713695559991637,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.01546055112547158,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.005339683890237649,3.3557046980247484e-06,0.015257032626540093,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0005270942844670695,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,0.0003332319218125577,0.8539887583577427,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,3.3557046980247484e-06,religion
9,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.17892391930295684,2.2313459478922057e-06,0.002705562583200026,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.0003575832254887692,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.005178202702965818,2.2313459478922057e-06,2.2313459478922057e-06,0.48013571990722986,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.00023034165655071796,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.001005263631461655,2.2313459478922057e-06,0.0013242192486653565,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.011215941015773315,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,0.3187670525093554,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,2.2313459478922057e-06,football
