,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,topic
0,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,0.005927677657423511,9.622786759142681e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.622786759142681e-06,9.62278675914268e-06,0.788627691521852,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.622786759142681e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,0.20508858771063604,9.622786759142683e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,9.62278675914268e-06,computer
1,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,0.04594734454522232,0.011198738570295786,0.003705935291885035,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,0.0022901993704762622,1.2357884330318179e-05,0.14609647205856402,1.235788433031818e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,0.021281471571074462,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,0.7685160621141313,1.2357884330318179e-05,1.2357884330318179e-05,1.2357884330318179e-05,0.000568324179780594,1.2357884330318179e-05,1.2357884330318179e-05,theatre
2,6.25000000006839e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,0.0053356057890047905,6.250000000068389e-06,6.25000000006839e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,0.0011657916064314441,6.250000000068389e-06,0.30756005850847373,0.0017198602094951685,6.250000000068389e-06,6.250000000068389e-06,6.250000000068391e-06,0.00988737449927823,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,0.002191276646065872,6.250000000068389e-06,6.250000000068389e-06,0.6719337827412484,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,6.250000000068389e-06,religion
3,1.4979029359026783e-05,1.4979029359026791e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,0.011845012811691764,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,0.4066064957335663,1.4979029359026784e-05,1.4979029359026783e-05,0.03480942891853362,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,0.5461998174792835,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026783e-05,1.4979029359026786e-05,fraternities
4,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,0.01355502874938261,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.877518767386482e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,0.000668356907278661,9.87751876738648e-06,0.6335968330968361,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,0.010711346615655693,9.877518767386486e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,0.3411227214739883,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,9.87751876738648e-06,computer
5,4.9446202532002485e-06,0.00024140467063619287,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,0.3787918856193871,4.944620253200249e-06,4.944620253200249e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,0.004183201999693086,4.9446202532002485e-06,0.13816980584273192,4.944620253200249e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,0.002328171948123476,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,0.0007757656226042933,4.9446202532002485e-06,4.9446202532002485e-06,0.47497816601094867,4.9446202532002485e-06,4.9446202532002485e-06,4.9446202532002485e-06,0.00037337043777304566,4.9446202532002485e-06,4.9446202532002485e-06,football
6,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,0.00041280385694353886,0.01002091292044864,9.466111321565453e-06,0.00281754681745664,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565453e-06,9.466111321565451e-06,0.6947001018325664,0.001245978868364917,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565453e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,9.466111321565451e-06,0.2890100312978669,0.0010983932838816509,9.466111321565451e-06,9.466111321565451e-06,0.0003913155601812197,9.466111321565451e-06,9.466111321565451e-06,computer
7,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,0.011744051028148466,5.592841163369702e-06,0.0008132612969692998,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,0.5173466821114723,5.5928411633697015e-06,5.5928411633697015e-06,5.592841163369702e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.592841163369702e-06,5.5928411633697015e-06,5.5928411633697015e-06,0.45032300575227013,0.019577250370421788,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.5928411633697015e-06,5.592841163369702e-06,neuroscience
8,6.711409396051277e-06,0.00023960551856811718,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,0.01799146376037833,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,0.0005064865991958418,6.711409396051277e-06,0.21376436420527187,0.003807222454603906,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051279e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,0.0007376526320995818,6.711409396051277e-06,6.711409396051277e-06,0.7627317283198126,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051277e-06,6.711409396051279e-06,religion
9,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,0.00017744433782584736,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,0.5440582615264332,4.462691895783384e-06,0.0020242753799907054,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,0.0014711568302696284,4.462691895783384e-06,0.1836290241320049,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,0.000768781360212818,4.462691895783384e-06,4.462691895783384e-06,0.2674136112969051,4.462691895783384e-06,4.462691895783384e-06,4.462691895783384e-06,0.00031463899569264477,4.462691895783384e-06,4.462691895783384e-06,football
