,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,topic
0,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,0.003255983051756916,7.698229407306546e-06,0.010178199207555453,0.0006153698178889998,7.698229407306546e-06,7.698229407306546e-06,0.0016301017032884087,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,0.5958558121593931,7.698229407306546e-06,7.698229407306546e-06,0.027091863329193097,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,0.0012162676680580824,7.698229407306546e-06,7.698229407306546e-06,0.0005108039132834727,7.698229407306546e-06,7.698229407306546e-06,0.35791214813954075,0.0005845785545154223,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,0.0008486415086413874,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,7.698229407306546e-06,computer
1,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,0.03228013668798559,9.886307464262636e-06,0.04820054544901393,0.009854472157909262,0.021125798103815305,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,0.0012956106601967798,9.886307464262636e-06,0.00572662378394005,9.886307464262636e-06,0.05430470784408889,9.886307464262636e-06,9.886307464262636e-06,0.01633509073957059,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,0.001386760203353598,0.008906964637567844,9.886307464262636e-06,0.0038013207653854273,0.785466842353809,9.886307464262636e-06,9.886307464262636e-06,0.003872543305974478,0.0027626760811984377,9.886307464262636e-06,0.0009176435398432765,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,0.0034261292325624706,9.886307464262636e-06,9.886307464262636e-06,9.886307464262636e-06,theatre
2,0.00030945806634321226,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,0.02970241545962783,5.000000000054736e-06,0.005543944843809063,5.000000000054736e-06,0.0036370775193115064,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,0.001782088480160821,5.000000000054736e-06,0.0010507064376852181,0.0005258448247546286,0.10625948602626704,5.000000000054736e-06,5.000000000054736e-06,0.0028312904221905527,0.0004687183776296043,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,0.0033714515295435806,5.000000000054736e-06,5.000000000054736e-06,0.8419475418205549,5.000000000054736e-06,5.000000000054736e-06,0.002127341045770357,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,0.0002626351463498523,5.000000000054736e-06,5.000000000054736e-06,5.000000000054736e-06,religion
3,1.198322348724974e-05,0.0004515567272882667,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,0.014573909040446621,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,0.0006871882487778256,1.198322348724974e-05,0.07388320002590837,1.198322348724974e-05,1.198322348724974e-05,0.002402822798818861,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,0.0015450454260635493,1.198322348724974e-05,1.198322348724974e-05,0.8916647131147434,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,1.198322348724974e-05,0.0014204616684652751,1.198322348724974e-05,0.012879790786510798,1.198322348724974e-05,fraternities
4,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,0.01825144567984719,7.902015013909104e-06,0.014416509745625403,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,0.0018642139278212983,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,0.0019962514006059895,7.902015013909104e-06,0.43095148298516067,7.902015013909104e-06,7.902015013909104e-06,0.00831339114189763,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,0.002835007940055067,7.902015013909104e-06,7.902015013909104e-06,0.5205987876050062,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,0.00044892695841038837,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,7.902015013909104e-06,computer
5,3.9556962025639965e-06,0.0003820716622837519,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,0.010378486508030062,3.9556962025639965e-06,0.3498567883783243,0.003445728646356536,0.00040684046654924184,3.9556962025639965e-06,0.014563566137046529,3.9556962025639965e-06,3.9556962025639965e-06,0.00034177179646281176,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,0.017440444419631385,3.9556962025639965e-06,3.9556962025639965e-06,0.0016820659291244759,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,0.005155932675580505,3.9556962025639965e-06,0.0002970493779051308,0.5941041276276567,3.9556962025639965e-06,3.9556962025639965e-06,0.001140290931384851,0.0006624303803712045,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,3.9556962025639965e-06,football
6,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,0.004113539445450826,7.572889057252942e-06,0.01132691391202324,0.0011145474586103904,0.0038223069356807635,7.572889057252942e-06,0.0004252682288157811,7.572889057252942e-06,7.572889057252942e-06,0.0017014200138172986,7.572889057252942e-06,0.0007622318258896181,7.572889057252942e-06,0.49161107622062955,7.572889057252942e-06,7.572889057252942e-06,0.027556017310167026,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,0.0006981981010730627,7.572889057252942e-06,7.572889057252942e-06,0.4543888136655954,0.0011427513425963359,7.572889057252942e-06,7.572889057252942e-06,0.00037377013545703957,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,7.572889057252942e-06,0.0006905213981326754,7.572889057252942e-06,7.572889057252942e-06,computer
7,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,0.013403093232516707,4.474272930700558e-06,0.0021393489221219614,4.474272930700558e-06,0.000558641509122456,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,0.26898676730934007,4.474272930700558e-06,4.474272930700558e-06,0.003097790379802617,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,0.00798434142045146,4.474272930700558e-06,0.0014587061566120197,0.6843603431386612,0.017827522741212503,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,4.474272930700558e-06,neuroscience
8,5.36912751684367e-06,0.000514594326317166,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,0.010919925621177147,5.36912751684367e-06,0.017483425606268154,5.36912751684367e-06,0.0023799029711820724,5.36912751684367e-06,0.0008623809061732309,5.36912751684367e-06,5.36912751684367e-06,0.006565844223579726,5.36912751684367e-06,0.0003836066722947992,0.0030343178576909056,0.05114941785174335,5.36912751684367e-06,5.36912751684367e-06,0.003718505504901247,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,0.005471369181028949,5.36912751684367e-06,5.36912751684367e-06,0.8936483114918273,5.36912751684367e-06,5.36912751684367e-06,0.0006833579268345477,0.001166374190017349,5.36912751684367e-06,0.001830746205874518,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,5.36912751684367e-06,religion
9,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,0.009417002841611614,3.570153516627867e-06,0.5110460977453799,0.00046250764647731387,0.005037302910083687,3.570153516627867e-06,0.0024698926608164454,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,0.053310588940249565,3.570153516627867e-06,3.570153516627867e-06,0.0016931277913942394,3.570153516627867e-06,0.0009725155867740364,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,0.0016255729776614232,3.570153516627867e-06,3.570153516627867e-06,0.4132102098213783,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,0.00021490732058368736,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,0.0004046079239576546,3.570153516627867e-06,3.570153516627867e-06,3.570153516627867e-06,football
